p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,4380
http://www.wikidata.org/prop/direct/P39,position held,4186
http://www.wikidata.org/prop/direct/P735,given name,2991
http://www.wikidata.org/prop/direct/P27,country of citizenship,2926
http://www.wikidata.org/prop/direct/P569,date of birth,2911
http://www.wikidata.org/prop/direct/P21,sex or gender,2872
http://www.wikidata.org/prop/direct/P31,instance of,2872
http://www.wikidata.org/prop/direct/P214,VIAF cluster ID,2553
http://www.wikidata.org/prop/direct/P734,family name,2539
http://www.wikidata.org/prop/direct/P1307,Swiss parliament ID,2471
http://www.wikidata.org/prop/direct/P227,GND ID,2432
http://www.wikidata.org/prop/direct/P570,date of death,2158
http://www.wikidata.org/prop/direct/P902,HDS ID,2123
http://www.wikidata.org/prop/direct/P19,place of birth,2061
http://www.wikidata.org/prop/direct/P937,work location,2026
http://www.wikidata.org/prop/direct/P6231,BDELIS ID,1977
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",1912
http://www.wikidata.org/prop/direct/P102,member of political party,1717
http://www.wikidata.org/prop/direct/P2671,Google Knowledge Graph ID,1585
http://www.wikidata.org/prop/direct/P18,image,1346
http://www.wikidata.org/prop/direct/P701,Dodis ID,1268
http://www.wikidata.org/prop/direct/P1559,name in native language,1229
http://www.wikidata.org/prop/direct/P1321,municipal affiliation of a Swiss national,1134
http://www.wikidata.org/prop/direct/P20,place of death,1084
http://www.wikidata.org/prop/direct/P10632,OpenSanctions ID,1067
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,1051
http://www.wikidata.org/prop/direct/P373,Commons category,820
http://www.wikidata.org/prop/direct/P9964,Kalliope-Verbund (GND) ID,730
http://www.wikidata.org/prop/direct/P213,ISNI,698
http://www.wikidata.org/prop/direct/P7902,Deutsche Biographie (GND) ID,563
http://www.wikidata.org/prop/direct/P69,educated at,529
http://www.wikidata.org/prop/direct/P1871,CERL Thesaurus ID,496
http://www.wikidata.org/prop/direct/P646,Freebase ID,487
http://www.wikidata.org/prop/direct/P269,IdRef ID,413
http://www.wikidata.org/prop/direct/P13049,DDB person (GND) ID,388
http://www.wikidata.org/prop/direct/P244,Library of Congress authority ID,383
http://www.wikidata.org/prop/direct/P856,official website,343
http://www.wikidata.org/prop/direct/P9352,Portrait Archive ID,324
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,245
http://www.wikidata.org/prop/direct/P3368,Prabook ID,244
http://www.wikidata.org/prop/direct/P8474,lobbywatch.ch ID of a member of the Swiss parliament,244
http://www.wikidata.org/prop/direct/P8445,Our Campaigns candidate ID,229
http://www.wikidata.org/prop/direct/P463,member of,223
http://www.wikidata.org/prop/direct/P1343,described by source,197
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,183
http://www.wikidata.org/prop/direct/P1344,participant in,178
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,163
http://www.wikidata.org/prop/direct/P551,residence,150
http://www.wikidata.org/prop/direct/P40,child,145
http://www.wikidata.org/prop/direct/P108,employer,142
http://www.wikidata.org/prop/direct/P101,field of work,140
http://www.wikidata.org/prop/direct/P3065,RERO ID (legacy),139
http://www.wikidata.org/prop/direct/P2163,FAST ID,137
http://www.wikidata.org/prop/direct/P1889,different from,128
http://www.wikidata.org/prop/direct/P140,religion or worldview,126
http://www.wikidata.org/prop/direct/P119,place of burial,117
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,117
http://www.wikidata.org/prop/direct/P8189,J9U ID,114
http://www.wikidata.org/prop/direct/P9113,Patrinum ID,112
http://www.wikidata.org/prop/direct/P103,native language,110
http://www.wikidata.org/prop/direct/P1442,image of grave,110
http://www.wikidata.org/prop/direct/P22,father,109
http://www.wikidata.org/prop/direct/P3987,SHARE Catalogue author ID,97
http://www.wikidata.org/prop/direct/P1331,PACE member ID,96
http://www.wikidata.org/prop/direct/P166,award received,91
http://www.wikidata.org/prop/direct/P1038,relative,88
http://www.wikidata.org/prop/direct/P691,NL CR AUT ID,85
http://www.wikidata.org/prop/direct/P8750,Unione Romana Biblioteche Scientifiche ID,78
http://www.wikidata.org/prop/direct/P512,academic degree,77
http://www.wikidata.org/prop/direct/P648,Open Library ID,77
http://www.wikidata.org/prop/direct/P6640,JRC Names ID,75
http://www.wikidata.org/prop/direct/P2002,X (Twitter) username,71
http://www.wikidata.org/prop/direct/P3373,sibling,70
http://www.wikidata.org/prop/direct/P12458,Parsifal cluster ID,70
http://www.wikidata.org/prop/direct/P7293,National Library of Poland MMS ID,69
http://www.wikidata.org/prop/direct/P9918,Kallías ID,69
http://www.wikidata.org/prop/direct/P485,archives at,67
http://www.wikidata.org/prop/direct/P6424,affiliation string,67
http://www.wikidata.org/prop/direct/P10553,IxTheo authority ID,62
http://www.wikidata.org/prop/direct/P2600,Geni.com profile ID,59
http://www.wikidata.org/prop/direct/P26,spouse,56
http://www.wikidata.org/prop/direct/P3889,Swiss Federal Archives ID,56
http://www.wikidata.org/prop/direct/P5019,Brockhaus Enzyklopädie online ID,55
http://www.wikidata.org/prop/direct/P8034,Vatican Library VcBA ID,49
http://www.wikidata.org/prop/direct/P10677,Winterthur Glossar ID,47
http://www.wikidata.org/prop/direct/P396,SBN author ID,46
http://www.wikidata.org/prop/direct/P8687,social media followers,45
http://www.wikidata.org/prop/direct/P4293,PM20 folder ID,43
http://www.wikidata.org/prop/direct/P185,doctoral student,38
http://www.wikidata.org/prop/direct/P5008,on focus list of Wikimedia project,37
http://www.wikidata.org/prop/direct/P410,military or police rank,36
http://www.wikidata.org/prop/direct/P11249,KBR person ID,36
http://www.wikidata.org/prop/direct/P860,e-archiv.li ID,33
http://www.wikidata.org/prop/direct/P1015,NORAF ID,33
http://www.wikidata.org/prop/direct/P1416,affiliation,33
http://www.wikidata.org/prop/direct/P1695,NLP ID (old),33
http://www.wikidata.org/prop/direct/P3762,openMLOL author ID,31
http://www.wikidata.org/prop/direct/P8974,SAPA ID,29
http://www.wikidata.org/prop/direct/P10527,documentation files at,29
http://www.wikidata.org/prop/direct/P509,cause of death,28
http://www.wikidata.org/prop/direct/P1017,Vatican Library ID (former scheme),28
http://www.wikidata.org/prop/direct/P1276,Dictionnaire du Jura ID,28
http://www.wikidata.org/prop/direct/P1971,number of children,28
http://www.wikidata.org/prop/direct/P7763,copyright status as a creator,27
http://www.wikidata.org/prop/direct/P3602,candidacy in election,26
http://www.wikidata.org/prop/direct/P2949,WikiTree person ID,25
http://www.wikidata.org/prop/direct/P10608,FID performing arts ID,25
http://www.wikidata.org/prop/direct/P6379,has works in the collection,24
http://www.wikidata.org/prop/direct/P1196,manner of death,23
http://www.wikidata.org/prop/direct/P1280,CONOR.SI ID,23
http://www.wikidata.org/prop/direct/P271,NACSIS-CAT author ID,22
http://www.wikidata.org/prop/direct/P949,National Library of Israel ID (old),22
http://www.wikidata.org/prop/direct/P3365,Treccani ID,22
http://www.wikidata.org/prop/direct/P11496,CiNii Research ID,22
http://www.wikidata.org/prop/direct/P345,IMDb ID,21
http://www.wikidata.org/prop/direct/P1801,plaque image,21
http://www.wikidata.org/prop/direct/P641,sport,19
http://www.wikidata.org/prop/direct/P5731,Angelicum ID,19
http://www.wikidata.org/prop/direct/P6886,writing language,18
http://www.wikidata.org/prop/direct/P53,family,17
http://www.wikidata.org/prop/direct/P1368,National Library of Latvia ID,17
http://www.wikidata.org/prop/direct/P1477,birth name,17
http://www.wikidata.org/prop/direct/P6770,Swiss National Sound Archives ID,17
http://www.wikidata.org/prop/direct/P135,movement,16
http://www.wikidata.org/prop/direct/P910,topic's main category,16
http://www.wikidata.org/prop/direct/P1417,Encyclopædia Britannica Online ID,16
http://www.wikidata.org/prop/direct/P4432,Artists of the World ID,16
http://www.wikidata.org/prop/direct/P5306,LONSEA ID,15
http://www.wikidata.org/prop/direct/P10168,Zürich Herbaria collector ID,15
http://www.wikidata.org/prop/direct/P935,Commons gallery,14
http://www.wikidata.org/prop/direct/P973,described at URL,14
http://www.wikidata.org/prop/direct/P1315,NLA Trove people ID,14
http://www.wikidata.org/prop/direct/P2732,Persée author ID,14
http://www.wikidata.org/prop/direct/P3348,National Library of Greece ID,14
http://www.wikidata.org/prop/direct/P5504,RISM ID,14
http://www.wikidata.org/prop/direct/P7699,National Library of Lithuania ID,14
http://www.wikidata.org/prop/direct/P9046,A*dS Encyclopedia ID,14
http://www.wikidata.org/prop/direct/P25,mother,13
http://www.wikidata.org/prop/direct/P1291,Association Authors of Switzerland ID (former scheme),13
http://www.wikidata.org/prop/direct/P2003,Instagram username,13
http://www.wikidata.org/prop/direct/P2348,time period,13
http://www.wikidata.org/prop/direct/P4223,Treccani's Enciclopedia Italiana ID,13
http://www.wikidata.org/prop/direct/P8179,Canadiana Name Authority ID,13
http://www.wikidata.org/prop/direct/P8286,Olympedia people ID,13
http://www.wikidata.org/prop/direct/P9371,FranceArchives agent ID,13
http://www.wikidata.org/prop/direct/P1005,Portuguese National Library author ID,12
http://www.wikidata.org/prop/direct/P3630,Babelio author ID,12
http://www.wikidata.org/prop/direct/P5739,Pontificia Università della Santa Croce ID,12
http://www.wikidata.org/prop/direct/P7305,Online PWN Encyclopedia ID,12
http://www.wikidata.org/prop/direct/P8168,FactGrid item ID,12
http://www.wikidata.org/prop/direct/P8349,Proleksis enciklopedija ID,12
http://www.wikidata.org/prop/direct/P1741,GTAA ID,11
http://www.wikidata.org/prop/direct/P3430,SNAC ARK ID,11
http://www.wikidata.org/prop/direct/P6104,maintained by WikiProject,11
http://www.wikidata.org/prop/direct/P9029,Viceversa Letteratura author ID,11
http://www.wikidata.org/prop/direct/P12483,PMB – Personen der Moderne Basis person ID,11
http://www.wikidata.org/prop/direct/P13183,JudaicaLink person (GND) ID,11
http://www.wikidata.org/prop/direct/P434,MusicBrainz artist ID,10
http://www.wikidata.org/prop/direct/P1255,HelveticArchives ID,10
http://www.wikidata.org/prop/direct/P2013,Facebook username,10
http://www.wikidata.org/prop/direct/P6634,LinkedIn personal profile ID,10
http://www.wikidata.org/prop/direct/P6706,De Agostini ID,10
http://www.wikidata.org/prop/direct/P13079,eHLFL ID,10
http://www.wikidata.org/prop/direct/P109,signature,9
http://www.wikidata.org/prop/direct/P349,NDL Authority ID,9
http://www.wikidata.org/prop/direct/P184,doctoral advisor,9
http://www.wikidata.org/prop/direct/P245,Union List of Artist Names ID,9
http://www.wikidata.org/prop/direct/P409,Libraries Australia ID,9
http://www.wikidata.org/prop/direct/P781,SIKART person ID,9
http://www.wikidata.org/prop/direct/P950,National Library of Spain SpMaBN ID (BNE v1.0),9
http://www.wikidata.org/prop/direct/P1375,NSK ID,9
http://www.wikidata.org/prop/direct/P8313,Lex ID,9
http://www.wikidata.org/prop/direct/P535,Find a Grave memorial ID,8
http://www.wikidata.org/prop/direct/P802,student,8
http://www.wikidata.org/prop/direct/P866,Perlentaucher ID,8
http://www.wikidata.org/prop/direct/P1253,BCU Ecrivainsvd ID,8
http://www.wikidata.org/prop/direct/P1362,Theaterlexikon der Schweiz ID,8
http://www.wikidata.org/prop/direct/P2383,CTHS person ID,8
http://www.wikidata.org/prop/direct/P4081,BHL creator ID,8
http://www.wikidata.org/prop/direct/P5508,archINFORM person/group ID,8
http://www.wikidata.org/prop/direct/P8851,CONOR.SR ID,8
http://www.wikidata.org/prop/direct/P11182,UOM ID,8
http://www.wikidata.org/prop/direct/P886,Lexicon istoric retic ID,7
http://www.wikidata.org/prop/direct/P2268,Musée d'Orsay artist ID,7
http://www.wikidata.org/prop/direct/P2843,Benezit ID,7
http://www.wikidata.org/prop/direct/P3360,Nobel Prize People Nomination ID,7
http://www.wikidata.org/prop/direct/P5375,BIU Santé person ID,7
http://www.wikidata.org/prop/direct/P5370,Entomologists of the World ID,7
http://www.wikidata.org/prop/direct/P6821,Alvin ID,7
http://www.wikidata.org/prop/direct/P13166,PUG authority ID,7
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),6
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,6
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,6
http://www.wikidata.org/prop/direct/P7666,Visuotinė lietuvių enciklopedija ID,6
http://www.wikidata.org/prop/direct/P7929,Roglo person ID,6
http://www.wikidata.org/prop/direct/P8081,WBIS ID,6
http://www.wikidata.org/prop/direct/P8849,CONOR.BG ID,6
http://www.wikidata.org/prop/direct/P9720,fotoCH photographer ID,6
http://www.wikidata.org/prop/direct/P10227,National Library of Ireland ID,6
http://www.wikidata.org/prop/direct/P12597,museum-digital person ID,6
http://www.wikidata.org/prop/direct/P54,member of sports team,5
http://www.wikidata.org/prop/direct/P549,Mathematics Genealogy Project ID,5
http://www.wikidata.org/prop/direct/P650,RKDartists ID,5
http://www.wikidata.org/prop/direct/P800,notable work,5
http://www.wikidata.org/prop/direct/P1296,Gran Enciclopèdia Catalana ID (former scheme),5
http://www.wikidata.org/prop/direct/P1447,Sports-Reference.com Olympic athlete ID (archived),5
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,5
http://www.wikidata.org/prop/direct/P6275,copyright representative,5
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,5
http://www.wikidata.org/prop/direct/P8795,Diamond Catalog ID for persons and organisations,5
http://www.wikidata.org/prop/direct/P8947,Museo Galileo authority ID,5
http://www.wikidata.org/prop/direct/P9037,BHCL UUID,5
http://www.wikidata.org/prop/direct/P9984,CANTIC ID,5
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,5
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,5
http://www.wikidata.org/prop/direct/P12607,droitne.ch author ID,5
http://www.wikidata.org/prop/direct/P451,unmarried partner,4
http://www.wikidata.org/prop/direct/P906,SELIBR ID,4
http://www.wikidata.org/prop/direct/P1472,Commons Creator page,4
http://www.wikidata.org/prop/direct/P2605,ČSFD person ID,4
http://www.wikidata.org/prop/direct/P2868,subject has role,4
http://www.wikidata.org/prop/direct/P2963,Goodreads author ID,4
http://www.wikidata.org/prop/direct/P3222,NE.se ID,4
http://www.wikidata.org/prop/direct/P3219,Encyclopædia Universalis ID,4
http://www.wikidata.org/prop/direct/P3782,Artnet artist ID,4
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,4
http://www.wikidata.org/prop/direct/P5587,Libris-URI,4
http://www.wikidata.org/prop/direct/P6404,Treccani's Dizionario di Storia ID,4
http://www.wikidata.org/prop/direct/P7369,National Library of Chile ID,4
http://www.wikidata.org/prop/direct/P7545,askArt person ID,4
http://www.wikidata.org/prop/direct/P7865,CoBiS author ID,4
http://www.wikidata.org/prop/direct/P9493,artist files at,4
http://www.wikidata.org/prop/direct/P10141,Academy of Athens authority ID,4
http://www.wikidata.org/prop/direct/P10299,Leopoldina member ID (new),4
http://www.wikidata.org/prop/direct/P10351,Turin University student ID,4
http://www.wikidata.org/prop/direct/P12098,Kinobox person ID,4
http://www.wikidata.org/prop/direct/P607,participated in conflict,3
http://www.wikidata.org/prop/direct/P640,Léonore ID,3
http://www.wikidata.org/prop/direct/P812,academic major,3
http://www.wikidata.org/prop/direct/P968,email address,3
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,3
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),3
http://www.wikidata.org/prop/direct/P1556,zbMATH author ID,3
http://www.wikidata.org/prop/direct/P1581,official blog URL,3
http://www.wikidata.org/prop/direct/P1819,genealogics.org person ID,3
http://www.wikidata.org/prop/direct/P1830,owner of,3
http://www.wikidata.org/prop/direct/P2031,work period (start),3
http://www.wikidata.org/prop/direct/P2397,YouTube channel ID,3
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,3
http://www.wikidata.org/prop/direct/P2734,Unz Review author ID,3
http://www.wikidata.org/prop/direct/P2799,BVMC person ID,3
http://www.wikidata.org/prop/direct/P3280,BAnQ authority ID,3
http://www.wikidata.org/prop/direct/P3413,Leopoldina member ID (superseded),3
http://www.wikidata.org/prop/direct/P3901,ADAGP artist ID,3
http://www.wikidata.org/prop/direct/P4619,National Library of Brazil ID,3
http://www.wikidata.org/prop/direct/P4663,DACS ID (former),3
http://www.wikidata.org/prop/direct/P4927,Invaluable.com person ID,3
http://www.wikidata.org/prop/direct/P4955,MR Author ID,3
http://www.wikidata.org/prop/direct/P7208,Liber Liber author ID,3
http://www.wikidata.org/prop/direct/P7400,LibraryThing author ID,3
